cameroon_date,cameroon_ex_rate,cameroon_avg_temp
2007-07-13,,72.1
2007-07-14,,72.9
2007-07-15,,74.9
2007-07-16,,74.1
2007-07-17,,74.5
2007-07-18,,73
2007-07-19,,73
2007-07-20,,73.5
2007-07-21,,72.9
2007-07-22,,73.5
2007-07-23,,74.1
2007-07-24,,72.7
2007-07-25,,73.7
2007-07-26,,72
2007-07-27,,69.8
2007-07-28,,72.8
2007-07-29,,72.1
2007-07-30,,70.8
2007-07-31,,73.5
2007-08-01,,70.7
2007-08-02,,72.6
2007-08-03,,71.2
2007-08-04,,70.4
2007-08-05,,71.9
2007-08-06,,71.9
2007-08-07,,72.4
2007-08-08,,72.1
2007-08-09,,72.4
2007-08-10,,73
2007-08-11,,73.7
2007-08-12,,72.4
2007-08-13,,70.6
2007-08-14,,73.2
2007-08-15,,73.2
2007-08-16,,71
2007-08-17,,73.7
2007-08-18,,74.4
2007-08-19,,72.1
2007-08-20,,73.3
2007-08-21,,72.6
2007-08-22,,72.5
2007-08-23,,71.8
2007-08-24,,71.2
2007-08-25,,72.2
2007-08-26,,73
2007-08-27,,72.8
2007-08-28,,72.7
2007-08-29,,76.7
2007-08-30,,73.3
2007-08-31,,71.9
2007-09-01,,73.8
2007-09-02,,73.3
2007-09-03,,72.6
2007-09-04,,72.1
2007-09-05,,71.2
2007-09-06,,72.9
2007-09-07,,74.4
2007-09-08,,70.7
2007-09-09,,73.1
2007-09-10,,73
2007-09-11,,74.3
2007-09-12,,72.3
2007-09-13,,72.5
2007-09-14,,74.6
2007-09-15,,73.5
2007-09-16,,72.4
2007-09-17,,73.1
2007-09-18,,73.1
2007-09-19,,73.9
2007-09-20,,72.3
2007-09-21,,71.5
2007-09-22,,74
2007-09-23,,74.3
2007-09-24,,74.5
2007-09-25,,72.9
2007-09-26,,74.9
2007-09-27,,75.1
2007-09-28,,73.6
2007-09-29,,71.6
2007-09-30,,72.5
2007-10-01,,71.5
2007-10-02,,73.6
2007-10-03,,72.6
2007-10-04,,72.9
2007-10-05,,72.8
2007-10-06,,73
2007-10-07,,71.7
2007-10-08,,71.8
2007-10-09,,74.3
2007-10-10,,74.6
2007-10-11,,73.6
2007-10-12,,75.3
2007-10-13,,73.4
2007-10-14,,73.5
2007-10-15,,73.1
2007-10-16,,73.3
2007-10-17,,72.5
2007-10-18,,73.2
2007-10-19,,73.7
2007-10-20,,71.9
2007-10-21,,72.4
2007-10-22,,74.8
2007-10-23,,73.4
2007-10-24,,72
2007-10-25,,74.9
2007-10-26,,73.4
2007-10-27,,72.9
2007-10-28,,73.3
2007-10-29,,74.9
2007-10-30,,75.5
2007-10-31,,74.7
2007-11-01,,75.5
2007-11-02,,77.2
2007-11-03,,74.8
2007-11-04,,75.5
2007-11-05,,75.2
2007-11-06,,75.3
2007-11-07,,74.7
2007-11-08,,72.3
2007-11-09,,73.9
2007-11-10,,74.4
2007-11-11,,73
2007-11-12,,75.1
2007-11-13,,74.8
2007-11-14,,73.5
2007-11-15,,70.8
2007-11-16,,73.8
2007-11-17,,75.1
2007-11-18,,76.5
2007-11-19,,75.7
2007-11-20,,76.7
2007-11-21,,75.1
2007-11-22,,74.6
2007-11-23,,75.1
2007-11-24,,76.8
2007-11-25,,77.8
2007-11-26,,76.6
2007-11-27,,76.4
2007-11-28,,76.1
2007-11-29,,76.6
2007-11-30,,76.9
2007-12-01,,77.3
2007-12-02,,77.7
2007-12-03,,77.1
2007-12-04,,76
2007-12-05,,78.2
2007-12-06,,77.6
2007-12-07,,76
2007-12-08,,77.6
2007-12-09,,77.4
2007-12-10,,76.3
2007-12-11,,77.8
2007-12-12,,77.6
2007-12-13,,78.3
2007-12-14,,79.8
2007-12-15,,78
2007-12-16,,78.1
2007-12-17,,79.8
2007-12-18,,80.9
2007-12-19,,78.1
2007-12-20,,75.7
2007-12-21,,77.3
2007-12-22,,78
2007-12-23,,77.4
2007-12-24,,76.6
2007-12-25,,76.7
2007-12-26,,78.5
2007-12-27,,79.3
2007-12-28,,79.3
2007-12-29,,80.1
2007-12-30,,80.2
2007-12-31,,78.8
2008-01-01,,80.1
2008-01-02,,80.1
2008-01-03,,81.3
2008-01-04,,80.4
2008-01-05,,80.9
2008-01-06,,81.6
2008-01-07,,82
2008-01-08,,80.9
2008-01-09,,80
2008-01-10,,82.1
2008-01-11,,82.3
2008-01-12,,81.2
2008-01-13,,81.2
2008-01-14,,81.4
2008-01-15,,81.6
2008-01-16,,81.4
2008-01-17,,81.1
2008-01-18,,81.3
2008-01-19,,80.6
2008-01-20,,80.3
2008-01-21,,79.5
2008-01-22,,78.5
2008-01-23,,77.9
2008-01-24,,78.9
2008-01-25,,79.9
2008-01-26,,79
2008-01-27,,78.9
2008-01-28,,78.5
2008-01-29,,79.2
2008-01-30,,79.6
2008-01-31,,80.5
2008-02-01,,81.6
2008-02-02,,82
2008-02-03,,83.1
2008-02-04,,83.4
2008-02-05,,83.7
2008-02-06,,82.6
2008-02-07,,82.1
2008-02-08,,81
2008-02-09,,81.1
2008-02-10,,81.7
2008-02-11,,82.1
2008-02-12,,81.6
2008-02-13,,83.1
2008-02-14,,83.4
2008-02-15,,83.2
2008-02-16,,82.9
2008-02-17,,82.5
2008-02-18,,82.4
2008-02-19,,82.3
2008-02-20,,81.9
2008-02-21,,81.9
2008-02-22,,83.1
2008-02-23,,83.8
2008-02-24,,83.3
2008-02-25,,82.7
2008-02-26,,82.1
2008-02-27,,82.3
2008-02-28,,82.1
2008-02-29,,82.1
2008-03-01,,82.4
2008-03-02,,83
2008-03-03,,82.8
2008-03-04,,83
2008-03-05,,82.9
2008-03-06,,84
2008-03-07,,83.9
2008-03-08,,83.1
2008-03-09,,82
2008-03-10,,77.6
2008-03-11,,78.1
2008-03-12,,82
2008-03-13,,81.4
2008-03-14,,82.7
2008-03-15,,78.9
2008-03-16,,79.6
2008-03-17,,80.9
2008-03-18,,83.9
2008-03-19,,80.2
2008-03-20,,79.1
2008-03-21,,81.9
2008-03-22,,80.9
2008-03-23,,79.5
2008-03-24,,78.4
2008-03-25,,80
2008-03-26,,81
2008-03-27,,79.2
2008-03-28,,80.6
2008-03-29,,82.1
2008-03-30,,79.8
2008-03-31,,74.5
2008-04-01,,79.9
2008-04-02,,74.7
2008-04-03,,77.1
2008-04-04,,71.5
2008-04-05,,75.6
2008-04-06,,77.6
2008-04-07,,78.2
2008-04-08,,77.6
2008-04-09,,77.9
2008-04-10,,79.1
2008-04-11,,75.8
2008-04-12,,76
2008-04-13,,77.5
2008-04-14,,77.8
2008-04-15,,75.4
2008-04-16,,76.9
2008-04-17,,77.3
2008-04-18,,72.8
2008-04-19,,75.6
2008-04-20,,78.6
2008-04-21,,79.2
2008-04-22,,74.7
2008-04-23,,76.2
2008-04-24,,74.8
2008-04-25,,75.6
2008-04-26,,72.6
2008-04-27,,75.2
2008-04-28,,72.3
2008-04-29,,75.8
2008-04-30,,75.5
2008-05-01,,76.4
2008-05-02,,74.1
2008-05-03,,75.7
2008-05-04,,76
2008-05-05,,77.4
2008-05-06,,71.2
2008-05-07,,76.4
2008-05-08,,73.1
2008-05-09,,75.6
2008-05-10,,77.1
2008-05-11,,76.2
2008-05-12,,76.1
2008-05-13,,78
2008-05-14,,76.9
2008-05-15,,74.1
2008-05-16,,73.7
2008-05-17,,76.1
2008-05-18,,75.6
2008-05-19,,76.7
2008-05-20,,76.3
2008-05-21,,74.8
2008-05-22,,75.5
2008-05-23,,72.7
2008-05-24,,74.9
2008-05-25,,75.4
2008-05-26,,71.4
2008-05-27,,72.5
2008-05-28,,73.3
2008-05-29,,75.4
2008-05-30,,75.5
2008-05-31,,73.2
2008-06-01,,73.8
2008-06-02,,73.8
2008-06-03,,74.3
2008-06-04,,75
2008-06-05,,74.1
2008-06-06,,74.7
2008-06-07,,74.5
2008-06-08,,72.9
2008-06-09,,71.5
2008-06-10,,74
2008-06-11,,75.8
2008-06-12,,74.8
2008-06-13,,74.6
2008-06-14,,75
2008-06-15,,73.5
2008-06-16,,72.6
2008-06-17,,72.7
2008-06-18,,72.2
2008-06-19,,74.5
2008-06-20,,73.8
2008-06-21,,74
2008-06-22,,73.9
2008-06-23,,71.2
2008-06-24,,73.5
2008-06-25,,74.3
2008-06-26,,72.1
2008-06-27,,73.2
2008-06-28,,72.3
2008-06-29,,73.7
2008-06-30,,75.8
2008-07-01,,73
2008-07-02,,74.7
2008-07-03,,74.2
2008-07-04,,74.3
2008-07-05,,73.9
2008-07-06,,73
2008-07-07,,73.5
2008-07-08,,70
2008-07-09,,70.4
2008-07-10,,70.2
2008-07-11,,74
2008-07-12,,74.2
2008-07-13,,73.1
2008-07-14,,69.4
2008-07-15,,72.2
2008-07-16,,72.9
2008-07-17,,69.8
2008-07-18,,72.1
2008-07-19,,73.1
2008-07-20,,74.1
2008-07-21,,71.9
2008-07-22,,73.7
2008-07-23,,72.9
2008-07-24,,72.9
2008-07-25,,72.6
2008-07-26,,72.1
2008-07-27,,69.2
2008-07-28,,71.7
2008-07-29,,71.4
2008-07-30,,73.9
2008-07-31,,69.7
2008-08-01,,71.4
2008-08-02,,72.2
2008-08-03,,72
2008-08-04,,73.1
2008-08-05,,74.2
2008-08-06,,71.4
2008-08-07,,72.6
2008-08-08,,71.2
2008-08-09,,74
2008-08-10,,74.4
2008-08-11,,72.9
2008-08-12,,72
2008-08-13,,72.1
2008-08-14,,71.7
2008-08-15,,72.3
2008-08-16,,70.3
2008-08-17,,68.9
2008-08-18,,69.1
2008-08-19,,68.7
2008-08-20,,72.6
2008-08-21,,73.6
2008-08-22,,72.9
2008-08-23,,74.1
2008-08-24,,73.1
2008-08-25,,73.9
2008-08-26,,73.9
2008-08-27,,71.2
2008-08-28,,73.5
2008-08-29,,73.3
2008-08-30,,72.8
2008-08-31,,72.6
2008-09-01,,72.4
2008-09-02,,74.4
2008-09-03,,74.6
2008-09-04,,73.2
2008-09-05,,73.2
2008-09-06,,72.7
2008-09-07,,71.4
2008-09-08,,73.7
2008-09-09,,73.7
2008-09-10,,73.9
2008-09-11,,74.2
2008-09-12,,74.2
2008-09-13,,71.9
2008-09-14,,72.2
2008-09-15,,74.2
2008-09-16,,74.1
2008-09-17,,74.6
2008-09-18,,73.2
2008-09-19,,73.5
2008-09-20,,73.6
2008-09-21,,72.7
2008-09-22,,72.2
2008-09-23,,72.1
2008-09-24,,75.5
2008-09-25,,76.1
2008-09-26,,74.4
2008-09-27,,72.8
2008-09-28,,73.1
2008-09-29,,73.7
2008-09-30,,74.3
2008-10-01,,74.9
2008-10-02,,72.6
2008-10-03,,74.7
2008-10-04,,74.8
2008-10-05,,73.7
2008-10-06,,73.7
2008-10-07,,72.7
2008-10-08,,74.2
2008-10-09,,74.4
2008-10-10,,71
2008-10-11,,74.1
2008-10-12,,74.5
2008-10-13,,74.7
2008-10-14,,72.6
2008-10-15,,74
2008-10-16,,74.6
2008-10-17,,75.2
2008-10-18,,74.9
2008-10-19,,75.2
2008-10-20,,76.5
2008-10-21,,75.2
2008-10-22,,74.5
2008-10-23,,77
2008-10-24,,78.4
2008-10-25,,77.3
2008-10-26,,76.2
2008-10-27,,74.7
2008-10-28,,75.2
2008-10-29,,74.4
2008-10-30,,76.6
2008-10-31,,77.1
2008-11-01,,77
2008-11-02,,77.8
2008-11-03,,77.4
2008-11-04,,76.3
2008-11-05,,76.8
2008-11-06,,75.8
2008-11-07,,75.9
2008-11-08,,76.6
2008-11-09,,76.1
2008-11-10,,76.5
2008-11-11,,75.1
2008-11-12,,75.7
2008-11-13,,75.3
2008-11-14,,76.9
2008-11-15,,79
2008-11-16,,79.9
2008-11-17,,78.5
2008-11-18,,78.1
2008-11-19,,77.8
2008-11-20,,78.7
2008-11-21,,79.3
2008-11-22,,80
2008-11-23,,80.1
2008-11-24,,79.2
2008-11-25,,79.9
2008-11-26,,80.6
2008-11-27,,80.2
2008-11-28,,80.8
2008-11-29,,81.4
2008-11-30,,80.7
2008-12-01,,80.7
2008-12-02,,79.6
2008-12-03,,78.7
2008-12-04,,77.7
2008-12-05,,73.1
2008-12-06,,77.2
2008-12-07,,76.2
2008-12-08,,76.9
2008-12-09,,77.5
2008-12-10,,77.7
2008-12-11,,78.4
2008-12-12,,78.4
2008-12-13,,77.9
2008-12-14,,78
2008-12-15,,78.3
2008-12-16,,78.6
2008-12-17,,80.5
2008-12-18,,80.6
2008-12-19,,80.4
2008-12-20,,80
2008-12-21,,80.8
2008-12-22,,79.3
2008-12-23,,77.8
2008-12-24,,78.4
2008-12-25,,79.5
2008-12-26,,80.9
2008-12-27,,80.7
2008-12-28,,79.8
2008-12-29,,80.3
2008-12-30,,79.9
2008-12-31,,80.8
2009-01-01,,80.8
2009-01-02,,79.9
2009-01-03,,80
2009-01-04,,80.4
2009-01-05,,81.6
2009-01-06,,82.3
2009-01-07,,82.4
2009-01-08,,81.6
2009-01-09,,82.4
2009-01-10,,81.7
2009-01-11,,81.4
2009-01-12,,81.2
2009-01-13,,81
2009-01-14,,83.1
2009-01-15,,83.2
2009-01-16,,83.6
2009-01-17,,82.4
2009-01-18,,81.2
2009-01-19,,81.6
2009-01-20,,82.4
2009-01-21,,80.1
2009-01-22,,79.8
2009-01-23,,82.2
2009-01-24,,79.9
2009-01-25,,79.5
2009-01-26,,81.3
2009-01-27,,82.8
2009-01-28,,83.7
2009-01-29,,81.9
2009-01-30,,82.5
2009-01-31,,81.9
2009-02-01,,82.8
2009-02-02,,84.5
2009-02-03,,82.9
2009-02-04,,83.8
2009-02-05,,83.5
2009-02-06,,83.7
2009-02-07,,83.7
2009-02-08,,84.6
2009-02-09,,83.7
2009-02-10,,82.3
2009-02-11,,84.1
2009-02-12,,82.4
2009-02-13,,82.1
2009-02-14,,82.6
2009-02-15,,83.2
2009-02-16,,82.2
2009-02-17,,82.8
2009-02-18,,83.5
2009-02-19,,81.2
2009-02-20,,82.9
2009-02-21,,83.4
2009-02-22,,82
2009-02-23,,83.7
2009-02-24,,83.6
2009-02-25,,79.4
2009-02-26,,83.6
2009-02-27,,82.5
2009-02-28,,82.9
2009-03-01,,82.7
2009-03-02,,84.5
2009-03-03,,84.5
2009-03-04,,84.3
2009-03-05,,84.9
2009-03-06,,85.8
2009-03-07,,85.2
2009-03-08,,82.7
2009-03-09,,85.1
2009-03-10,,85.3
2009-03-11,,84.8
2009-03-12,,85.3
2009-03-13,,85.5
2009-03-14,,84.3
2009-03-15,,86.4
2009-03-16,,85.3
2009-03-17,,84.5
2009-03-18,,85.2
2009-03-19,,84.4
2009-03-20,,85.4
2009-03-21,,84.7
2009-03-22,,84.1
2009-03-23,,84.1
2009-03-24,,85.2
2009-03-25,,84.9
2009-03-26,,84.6
2009-03-27,,85.7
2009-03-28,,82
2009-03-29,,83.2
2009-03-30,,83.5
2009-03-31,,83.1
2009-04-01,,83.3
2009-04-02,,79.1
2009-04-03,,78.4
2009-04-04,,79.6
2009-04-05,,75.7
2009-04-06,,79.2
2009-04-07,,77.6
2009-04-08,,78.1
2009-04-09,,71.4
2009-04-10,,75.2
2009-04-11,,76.8
2009-04-12,,75.3
2009-04-13,,76.9
2009-04-14,,77.6
2009-04-15,,77.1
2009-04-16,,78.6
2009-04-17,,77.1
