ghana_date,ghana_ex_rate,ghana_avg_temp
2007-07-13,1.06,79
2007-07-14,,80
2007-07-15,,80
2007-07-16,1.06,81
2007-07-17,1.06,78
2007-07-18,1.06,77
2007-07-19,1.06,78
2007-07-20,1.06,81
2007-07-21,,
2007-07-22,,77
2007-07-23,1.05,78
2007-07-24,1.06,82
2007-07-25,1.05,78
2007-07-26,1.05,77
2007-07-27,1.05,79
2007-07-28,,
2007-07-29,,
2007-07-30,1.05,79
2007-07-31,1.05,81
2007-08-01,1.05,79
2007-08-02,1.05,78
2007-08-03,1.06,79
2007-08-04,,77
2007-08-05,,78
2007-08-06,1.05,77
2007-08-07,1.05,79
2007-08-08,1.06,76
2007-08-09,1.04,80
2007-08-10,1.05,79
2007-08-11,,79
2007-08-12,,77
2007-08-13,1.05,80
2007-08-14,1.05,80
2007-08-15,1.05,77
2007-08-16,1.05,77
2007-08-17,1.05,78
2007-08-18,,
2007-08-19,,
2007-08-20,1.05,
2007-08-21,1.04,
2007-08-22,1.06,
2007-08-23,1.04,81
2007-08-24,1.05,78
2007-08-25,,80
2007-08-26,,79
2007-08-27,1.05,79
2007-08-28,1.05,
2007-08-29,1.05,80
2007-08-30,1.05,
2007-08-31,1.05,79
2007-09-01,,74
2007-09-02,,
2007-09-03,1.05,77
2007-09-04,1.05,78
2007-09-05,1.05,75
2007-09-06,1.05,77
2007-09-07,1.05,76
2007-09-08,,
2007-09-09,,79
2007-09-10,,79
2007-09-11,1.04,77
2007-09-12,1.04,77
2007-09-13,1.05,
2007-09-14,1.04,
2007-09-15,,
2007-09-16,,
2007-09-17,1.05,
2007-09-18,1.06,80
2007-09-19,1.04,81
2007-09-20,1.04,80
2007-09-21,1.04,80
2007-09-22,,78
2007-09-23,,
2007-09-24,1.04,
2007-09-25,1.05,
2007-09-26,1.05,81
2007-09-27,1.04,81
2007-09-28,1.04,80
2007-09-29,,
2007-09-30,,
2007-10-01,1.04,
2007-10-02,1.03,
2007-10-03,1.03,
2007-10-04,1.04,
2007-10-05,1.04,
2007-10-06,,
2007-10-07,,
2007-10-08,1.04,
2007-10-09,1.04,
2007-10-10,1.03,
2007-10-11,1.04,
2007-10-12,1.04,
2007-10-13,,
2007-10-14,,
2007-10-15,1.04,
2007-10-16,1.04,
2007-10-17,1.04,
2007-10-18,1.04,
2007-10-19,1.04,
2007-10-20,,
2007-10-21,,
2007-10-22,1.04,77
2007-10-23,1.04,
2007-10-24,1.02,
2007-10-25,1.02,
2007-10-26,1.04,
2007-10-27,,
2007-10-28,,
2007-10-29,1.04,
2007-10-30,1.03,
2007-10-31,1.02,
2007-11-01,1.03,
2007-11-02,1.03,
2007-11-03,,
2007-11-04,,
2007-11-05,1.03,
2007-11-06,1.04,
2007-11-07,1.01,
2007-11-08,1.01,78
2007-11-09,1.01,
2007-11-10,,
2007-11-11,,
2007-11-12,1.01,
2007-11-13,1.01,
2007-11-14,1.01,
2007-11-15,1.02,
2007-11-16,1.01,
2007-11-17,,
2007-11-18,,
2007-11-19,1.01,
2007-11-20,1.01,
2007-11-21,1.01,
2007-11-22,1.00,
2007-11-23,1.03,
2007-11-24,,
2007-11-25,,86
2007-11-26,,82
2007-11-27,1.03,
2007-11-28,1.01,
2007-11-29,1.01,
2007-11-30,1.02,
2007-12-01,,
2007-12-02,,
2007-12-03,1.00,
2007-12-04,1.01,
2007-12-05,1.00,
2007-12-06,1.01,
2007-12-07,1.00,
2007-12-08,,
2007-12-09,,
2007-12-10,1.00,
2007-12-11,1.00,
2007-12-12,1.00,
2007-12-13,1.02,
2007-12-14,1.02,
2007-12-15,,85
2007-12-16,,
2007-12-17,1.00,84
2007-12-18,1.02,
2007-12-19,1.02,82
2007-12-20,1.02,89
2007-12-21,1.02,81
2007-12-22,,
2007-12-23,,
2007-12-24,1.02,81
2007-12-25,1.02,83
2007-12-26,1.03,
2007-12-27,1.02,
2007-12-28,1.00,
2007-12-29,,82
2007-12-30,,85
2007-12-31,0.99,
2008-01-01,0.99,
2008-01-02,1.02,83
2008-01-03,1.01,87
2008-01-04,1.02,79
2008-01-05,,
2008-01-06,,81
2008-01-07,1.02,85
2008-01-08,1.02,82
2008-01-09,1.01,
2008-01-10,1.01,
2008-01-11,1.02,
2008-01-12,,
2008-01-13,,
2008-01-14,1.02,
2008-01-15,1.01,
2008-01-16,1.00,
2008-01-17,1.02,84
2008-01-18,1.01,79
2008-01-19,,
2008-01-20,,
2008-01-21,,
2008-01-22,1.02,81
2008-01-23,1.01,81
2008-01-24,1.02,77
2008-01-25,1.01,77
2008-01-26,,78
2008-01-27,,
2008-01-28,1.01,73
2008-01-29,1.02,
2008-01-30,1.02,
2008-01-31,1.01,
2008-02-01,0.99,
2008-02-02,,81
2008-02-03,,83
2008-02-04,1.00,79
2008-02-05,1.00,
2008-02-06,1.01,86
2008-02-07,1.00,85
2008-02-08,1.01,
2008-02-09,,
2008-02-10,,84
2008-02-11,1.01,88
2008-02-12,1.01,
2008-02-13,1.00,81
2008-02-14,1.01,85
2008-02-15,1.01,85
2008-02-16,,82
2008-02-17,,80
2008-02-18,1.01,87
2008-02-19,1.00,
2008-02-20,1.01,
2008-02-21,1.02,89
2008-02-22,1.00,86
2008-02-23,,85
2008-02-24,,
2008-02-25,1.01,86
2008-02-26,1.02,84
2008-02-27,1.01,82
2008-02-28,1.01,85
2008-02-29,1.00,81
2008-03-01,,
2008-03-02,,
2008-03-03,1.01,
2008-03-04,1.00,85
2008-03-05,1.02,85
2008-03-06,1.01,83
