ivorycoast_date,ivorycoast_ex_rate,ivorycoast_avg_temp
2007-07-13,,76.4
2007-07-14,,76.4
2007-07-15,,77.6
2007-07-16,,77.8
2007-07-17,,77.5
2007-07-18,,74.9
2007-07-19,,76.2
2007-07-20,,77.3
2007-07-21,,75.9
2007-07-22,,73.7
2007-07-23,,73.9
2007-07-24,,76
2007-07-25,,77.2
2007-07-26,,74.4
2007-07-27,,72.1
2007-07-28,,74.9
2007-07-29,,76
2007-07-30,,74.2
2007-07-31,,76.4
2007-08-01,,76.8
2007-08-02,,74.7
2007-08-03,,74.7
2007-08-04,,75.8
2007-08-05,,75.3
2007-08-06,,75.1
2007-08-07,,76.4
2007-08-08,,75.1
2007-08-09,,75
2007-08-10,,74.2
2007-08-11,,75.6
2007-08-12,,75.3
2007-08-13,,75.8
2007-08-14,,73.3
2007-08-15,,73.6
2007-08-16,,76.5
2007-08-17,,76.1
2007-08-18,,76.1
2007-08-19,,77.6
2007-08-20,,77.9
2007-08-21,,75.2
2007-08-22,,76.6
2007-08-23,,75.7
2007-08-24,,75.1
2007-08-25,,74.4
2007-08-26,,76
2007-08-27,,75.8
2007-08-28,,77.6
2007-08-29,,75.7
2007-08-30,,75.3
2007-08-31,,75.1
2007-09-01,,73.3
2007-09-02,,74.4
2007-09-03,,77.3
2007-09-04,,77
2007-09-05,,76.3
2007-09-06,,75.5
2007-09-07,,76.8
2007-09-08,,76.5
2007-09-09,,75.7
2007-09-10,,74.8
2007-09-11,,74.6
2007-09-12,,77.5
2007-09-13,,75.4
2007-09-14,,76.5
2007-09-15,,76.6
2007-09-16,,76
2007-09-17,,77.2
2007-09-18,,78.4
2007-09-19,,76.2
2007-09-20,,72.6
2007-09-21,,76.9
2007-09-22,,76.6
2007-09-23,,76
2007-09-24,,76.5
2007-09-25,,76.5
2007-09-26,,77.1
2007-09-27,,76.8
2007-09-28,,76.4
2007-09-29,,76.5
2007-09-30,,77.2
2007-10-01,,77.6
2007-10-02,,77.2
2007-10-03,,76
2007-10-04,,75.8
2007-10-05,,76.3
2007-10-06,,76.5
