nigeria_date,nigeria_ex_rate,nigeria_avg_temp
2007-07-13,,74.2
2007-07-14,,73.5
2007-07-15,,75.3
2007-07-16,,75
2007-07-17,,74
2007-07-18,,74.9
2007-07-19,,74.8
2007-07-20,,73.5
2007-07-21,,73.1
2007-07-22,,73.8
2007-07-23,,75
2007-07-24,,75
2007-07-25,,72.8
2007-07-26,,71
2007-07-27,,72.8
2007-07-28,,72
2007-07-29,,73.9
2007-07-30,,74.6
2007-07-31,,73.1
2007-08-01,,74.9
2007-08-02,,73.3
2007-08-03,,72.8
2007-08-04,,73.1
2007-08-05,,73.7
2007-08-06,,74.7
2007-08-07,,73.2
2007-08-08,,72.5
2007-08-09,,72
2007-08-10,,73.6
2007-08-11,,75
2007-08-12,,74.9
2007-08-13,,71.7
2007-08-14,,71.9
2007-08-15,,73.3
2007-08-16,,73.9
2007-08-17,,72
2007-08-18,,75.1
2007-08-19,,76.3
2007-08-20,,72.2
2007-08-21,,73.5
2007-08-22,,75.6
2007-08-23,,74.4
2007-08-24,,73.2
2007-08-25,,74
2007-08-26,,73.2
2007-08-27,,72.7
2007-08-28,,75.1
2007-08-29,,74.4
2007-08-30,,74.5
2007-08-31,,72.2
2007-09-01,,71.3
2007-09-02,,74.2
2007-09-03,,73.5
2007-09-04,,72.2
2007-09-05,,71.2
2007-09-06,,71.1
2007-09-07,,74.5
2007-09-08,,74.6
2007-09-09,,73
2007-09-10,,73.8
2007-09-11,,75.3
2007-09-12,,74.9
2007-09-13,,75.3
2007-09-14,,75.8
2007-09-15,,75.6
2007-09-16,,73.3
2007-09-17,,76.1
2007-09-18,,74.1
2007-09-19,,75.7
2007-09-20,,73.7
2007-09-21,,74.3
2007-09-22,,74.6
2007-09-23,,75.1
2007-09-24,,76.7
2007-09-25,,74.3
2007-09-26,,76.7
2007-09-27,,77.3
2007-09-28,,75.6
2007-09-29,,75.6
2007-09-30,,75.8
2007-10-01,,75.9
2007-10-02,,75.7
2007-10-03,,75.5
2007-10-04,,75.6
2007-10-05,,74.1
2007-10-06,,74.3
2007-10-07,,72.2
2007-10-08,,74.1
2007-10-09,,76.1
2007-10-10,,76.8
2007-10-11,,76.4
2007-10-12,,76.7
2007-10-13,,76.1
2007-10-14,,76.1
2007-10-15,,76
2007-10-16,,76.7
2007-10-17,,76.4
2007-10-18,,75.5
2007-10-19,,76.5
2007-10-20,,74.4
2007-10-21,,77
2007-10-22,,76.2
2007-10-23,,75.1
2007-10-24,,74.9
2007-10-25,,74.7
2007-10-26,,75.3
2007-10-27,,75.5
2007-10-28,,75.2
2007-10-29,,74.8
2007-10-30,,75.6
2007-10-31,,76.4
2007-11-01,,77
2007-11-02,,75.3
2007-11-03,,76.3
2007-11-04,,76.3
2007-11-05,,76.6
2007-11-06,,76.6
2007-11-07,,77.1
2007-11-08,,77.8
2007-11-09,,75.1
2007-11-10,,75.5
2007-11-11,,75.1
2007-11-12,,76.9
2007-11-13,,77.2
2007-11-14,,76.5
2007-11-15,,75.3
2007-11-16,,75.9
2007-11-17,,77.1
2007-11-18,,77.3
2007-11-19,,76.9
2007-11-20,,77.5
2007-11-21,,76.7
2007-11-22,,76.8
2007-11-23,,77.7
2007-11-24,,78.5
2007-11-25,,78.3
2007-11-26,,77.9
2007-11-27,,78.1
2007-11-28,,78.7
2007-11-29,,78.7
2007-11-30,,79.7
2007-12-01,,79.1
2007-12-02,,78.4
2007-12-03,,78.4
2007-12-04,,77
2007-12-05,,77.3
2007-12-06,,76.5
2007-12-07,,76
2007-12-08,,76.6
2007-12-09,,76.6
2007-12-10,,77.5
2007-12-11,,78.1
2007-12-12,,77.3
2007-12-13,,77.7
2007-12-14,,78.4
2007-12-15,,77.7
2007-12-16,,78.2
2007-12-17,,79.1
2007-12-18,,79.1
2007-12-19,,79.5
2007-12-20,,79
2007-12-21,,77.1
2007-12-22,,75.3
2007-12-23,,74.8
2007-12-24,,75.3
2007-12-25,,76.3
2007-12-26,,76.6
2007-12-27,,77.6
